County/ Sub- County,Total,"Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private
company","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open ",Buried,"Compost
pit","Burnt in
a pit","Not
Stated"
KENYA,"12,043,016",6.3,6.9,8.8,8.4,2.4,3.6,27.1,3.2,18.4,14.9,0.0
Rural,"7,379,282",0.7,0.1,0.7,11.7,1.1,4.3,33.7,4.8,25.1,17.9,0.0
Urban,"4,663,734",15.3,17.5,21.8,3.2,4.4,2.5,16.5,0.8,7.8,10.1,0.0
MOMBASA,"376,295",5.6,36.7,19.5,3.9,5.2,2.6,16.1,0.6,4.9,4.9,0.0
CHANGAMWE,"46,439",6.8,50.4,14.6,3.2,6.6,2.2,9.5,0.5,3.2,3.1,0.0
JOMVU,"53,214",2.5,27.8,8.4,5.1,6.6,1.3,27.7,0.8,10.4,9.3,0.0
KISAUNI,"88,159",4.0,28.7,17.3,4.9,5.5,2.7,23.6,0.7,4.7,8.0,0.0
LIKONI,"80,002",6.3,47.3,8.0,3.6,2.9,3.8,17.8,0.8,5.2,4.4,0.0
MVITA,"38,710",13.7,30.4,37.6,3.0,6.8,1.8,3.4,0.2,1.6,1.4,0.1
NYALI,"69,771",4.1,36.0,36.8,3.2,4.4,3.0,7.1,0.5,3.4,1.5,0.0
KWALE,"172,802",5.2,1.1,1.2,20.9,2.0,4.4,33.2,2.7,12.4,16.7,0.0
KINANGO,"16,041",0.2,0.0,0.1,36.3,2.2,3.1,29.7,1.9,15.8,10.6,0.0
LUNGALUNGA,"37,276",0.9,0.1,0.4,22.7,2.4,8.2,33.1,5.1,14.0,13.2,0.0
MATUGA,"39,124",2.0,0.3,0.1,22.1,0.9,3.6,32.5,1.6,14.0,23.1,0.0
MSAMBWENI,"45,374",16.8,3.9,3.6,9.9,1.8,2.0,37.0,1.3,9.6,14.1,0.0
SAMBURU,"34,987",0.6,0.2,0.7,24.8,3.0,5.3,31.0,3.7,11.0,19.6,0.1
KILIFI,"297,990",6.2,2.8,3.9,11.5,1.9,4.7,34.8,2.7,12.0,19.4,0.0
CHONYI,"11,416",0.0,-,0.0,22.2,1.3,6.3,35.4,1.4,17.7,15.7,-
GANZE,"23,197",0.3,0.0,0.0,21.8,0.6,4.5,33.2,3.8,13.1,22.5,0.1
KALOLENI,"36,344",3.2,0.4,0.8,12.9,1.5,6.8,37.5,4.0,13.5,19.4,0.0
KAUMA,"3,479",0.1,0.0,0.2,13.3,2.1,7.0,41.0,3.7,14.2,18.5,-
KILIFI NORTH,"39,508",12.7,2.7,2.2,9.6,1.4,3.8,35.3,1.7,10.4,20.4,0.0
KILIFI SOUTH,"53,011",7.3,7.3,12.7,6.5,1.8,2.6,36.2,1.0,9.0,15.7,0.0
MAGARINI,"32,978",1.1,0.1,0.2,17.5,1.6,4.7,37.0,5.3,16.0,16.5,0.0
MALINDI,"73,317",9.4,4.6,4.7,8.4,3.2,4.8,34.7,2.7,9.7,17.8,0.0
RABAI,"24,740",4.5,0.2,0.9,9.8,1.9,6.7,24.5,1.8,15.8,33.8,0.0
TANA RIVER,"66,984",0.7,0.5,0.6,10.5,2.6,4.6,49.4,9.8,7.5,13.6,0.1
TANA DELTA,"22,395",0.1,0.1,0.1,12.2,3.0,2.8,51.9,9.2,9.4,11.3,0.0
TANA NORTH,"26,119",1.5,0.6,1.0,10.1,2.1,7.2,46.8,13.8,4.9,11.9,0.0
TANA RIVER,"18,470",0.5,0.8,0.7,9.2,2.8,2.9,50.2,4.9,8.8,19.0,0.1
LAMU,"34,231",3.8,2.0,1.3,16.0,6.4,4.5,38.9,3.3,9.7,14.0,0.0
LAMU EAST,"4,476",8.5,1.0,0.1,16.1,14.1,8.6,32.8,1.0,9.7,8.2,-
LAMU WEST,"29,755",3.1,2.2,1.5,16.0,5.3,3.9,39.8,3.7,9.7,14.8,0.0
TAITA/TAVETA,"94,468",5.9,0.6,0.9,9.6,1.0,3.7,26.1,1.4,13.0,37.7,0.0
MWATATE,"23,184",1.0,0.0,0.5,13.0,0.3,3.1,16.1,1.2,19.2,45.5,0.0
TAITA,"14,985",2.2,0.0,0.3,17.6,0.2,1.8,18.8,2.5,24.9,31.6,0.0
TAVETA,"23,417",5.1,0.4,1.0,6.3,0.7,5.9,33.8,1.8,6.4,38.6,0.0
VOI,"32,882",11.7,1.5,1.3,5.9,2.3,3.4,31.0,0.7,7.8,34.4,0.0
GARISSA,"138,940",6.1,1.0,3.5,8.1,1.6,10.0,45.6,11.4,5.3,7.3,0.0
BALAMBALA,"3,986",2.4,0.8,2.4,8.6,0.7,5.0,44.9,22.3,5.6,7.4,-
DADAAB,"35,169",2.9,0.6,3.1,8.0,1.2,15.2,43.0,15.6,3.8,6.6,0.0
FAFI,"23,351",3.9,2.0,2.3,7.9,2.7,7.1,44.7,13.3,5.6,10.4,0.0
GARISSA,"29,790",18.3,1.6,9.7,7.8,1.5,13.6,30.8,4.4,4.7,7.6,0.1
HULUGHO,"20,078",1.8,0.1,0.2,5.8,0.3,2.7,66.4,9.1,8.5,5.1,0.0
IJARA,"18,296",2.7,0.9,1.0,11.1,2.4,7.9,48.6,11.7,6.3,7.1,0.0
LAGDERA,"8,270",1.4,0.9,0.2,9.2,2.1,7.6,56.3,13.7,3.2,5.4,-
WAJIR,"126,878",5.7,0.5,1.6,5.3,1.3,8.4,43.5,24.0,3.4,6.2,0.0
BUNA,"6,480",1.6,0.0,0.2,9.9,2.2,6.3,45.4,23.1,6.7,4.6,-
ELDAS,"13,862",3.7,0.3,2.3,3.4,1.2,11.0,33.8,37.3,4.1,2.9,-
HABASWEIN,"31,113",2.7,0.7,0.6,8.2,1.2,10.7,53.0,11.5,3.3,8.0,0.0
TARBAJ,"9,241",1.1,0.1,0.2,1.3,1.3,7.3,43.0,36.6,3.6,5.5,-
WAJIR EAST,"18,282",23.0,0.7,7.4,5.1,1.7,6.9,22.2,26.3,1.6,5.1,0.0
WAJIR NORTH,"10,478",4.7,0.3,0.3,6.9,2.8,8.8,52.1,11.2,4.5,8.3,-
WAJIR SOUTH,"21,149",1.3,0.9,0.3,3.5,0.1,7.3,51.3,24.6,2.6,8.2,0.0
WAJIR WEST,"16,273",3.9,0.1,0.6,3.6,1.8,6.3,41.1,34.9,3.7,4.0,-
MANDERA,"123,954",9.1,0.3,0.4,5.5,1.5,7.5,58.1,8.7,2.9,5.9,0.0
MANDERA WEST,"14,201",2.2,0.4,0.4,6.3,0.6,6.3,66.3,8.2,4.1,5.2,0.0
BANISA,"24,000",3.3,0.4,0.5,5.7,1.8,6.6,61.0,12.4,3.3,5.0,0.0
KOTULO,"9,342",14.9,0.1,0.1,9.1,1.4,7.1,57.4,5.8,2.2,2.0,-
LAFEY,"11,380",5.0,0.1,0.7,4.5,0.6,6.1,67.0,8.7,3.6,3.8,-
MANDERA CENTRAL,"20,795",4.0,0.2,0.4,5.0,1.5,12.7,63.4,8.6,1.4,2.7,0.1
MANDERA EAST,"25,206",27.9,0.6,0.7,3.3,1.5,7.5,38.5,6.3,3.2,10.6,-
MANDERA NORTH,"19,030",2.2,0.0,0.1,7.3,2.7,5.1,63.2,8.9,2.5,8.0,-
MARSABIT,"76,689",5.2,0.0,0.4,10.4,1.8,5.0,46.3,7.8,3.9,19.0,0.1
LOIYANGALANI,"7,646",0.0,-,0.0,14.1,1.6,3.1,53.1,14.0,2.6,11.4,-
MARSABIT CENTRAL,"15,658",11.6,0.2,1.9,5.3,0.8,5.5,33.9,1.9,4.0,35.1,0.0
MARSABIT NORTH,"7,468",0.1,-,0.1,15.2,5.9,4.3,57.7,1.8,1.0,13.8,-
MARSABIT SOUTH,"11,563",0.1,0.0,0.0,12.1,1.8,2.1,53.6,16.0,4.5,9.7,0.0
MOYALE,"17,591",11.9,0.0,0.1,4.9,1.6,6.4,45.8,3.4,4.0,21.7,0.0
NORTH HORR,"9,601",0.1,0.0,0.0,21.9,1.5,2.2,51.7,13.7,0.6,7.7,0.4
SOLOLO,"7,162",0.8,-,0.2,8.0,0.9,11.2,36.2,10.4,11.4,21.0,0.0
ISIOLO,"53,217",4.7,1.4,6.3,4.1,1.2,5.4,42.6,6.0,4.2,24.1,0.0
GARBATULLA,"17,047",0.4,0.6,0.6,4.6,0.9,5.6,50.5,8.8,4.2,23.8,0.0
ISIOLO,"27,612",8.4,2.3,11.8,4.4,1.4,5.3,37.0,2.4,4.7,22.2,0.0
MERTI,"8,558",1.4,0.0,-,2.3,1.1,4.8,45.1,12.1,2.5,30.7,-
MERU,"423,931",4.6,0.2,0.6,13.4,0.7,5.2,27.8,2.7,28.1,16.7,0.0
BUURI EAST,"23,737",2.0,0.0,0.1,8.6,0.9,3.8,27.0,3.1,21.8,32.6,0.0
BUURI WEST,"27,905",2.8,1.1,1.9,4.6,1.2,1.5,24.3,1.9,29.2,31.4,0.0
IGEMBE CENTRAL,"51,848",0.9,0.0,0.2,18.8,0.5,5.3,44.0,3.2,20.1,6.9,0.0
IGEMBE NORTH,"38,716",1.9,0.0,0.2,15.8,0.7,8.3,35.9,4.9,24.3,8.1,0.0
IGEMBE SOUTH,"43,222",11.5,0.4,0.4,18.8,0.5,8.2,26.3,2.0,23.4,8.4,0.1
IMENTI NORTH,"57,556",15.0,0.1,1.1,7.8,0.7,3.8,18.3,1.4,26.2,25.6,0.0
IMENTI SOUTH,"63,954",3.5,0.3,0.8,10.7,0.1,6.2,18.2,2.1,41.5,16.5,0.0
MERUCENTRAL,"39,498",1.6,0.1,0.3,13.8,0.6,5.3,26.0,2.0,29.7,20.6,0.0
TIGANIA CENTRAL,"24,983",0.4,0.4,1.4,22.0,1.1,2.9,33.8,3.5,25.0,9.4,0.0
TIGANIA EAST,"16,791",1.0,0.0,0.8,10.8,0.4,2.8,26.3,4.5,36.0,17.3,0.1
TIGANIA WEST,"35,402",0.3,0.0,0.3,15.4,1.3,5.2,31.3,2.8,28.4,15.0,0.0
MERU NATIONAL PARK,46,-,-,-,-,-,-,34.8,-,-,65.2,-
MT. KENYA FOREST,273,0.7,-,3.3,2.6,-,1.8,26.0,13.2,12.5,39.9,-
THARAKA-NITHI,"109,450",4.4,0.1,0.2,15.8,0.5,4.3,34.8,2.0,19.2,18.7,0.0
IGAMBANG'OMBE,"14,383",1.2,-,0.1,26.4,0.9,1.9,34.9,2.3,15.8,16.5,0.0
MAARA,"34,779",3.9,0.3,0.4,14.5,0.2,3.6,33.3,1.7,24.4,17.7,0.0
MERU SOUTH,"28,211",10.4,0.0,0.4,17.0,0.6,2.2,28.3,1.8,23.1,16.2,0.0
THARAKA NORTH,"13,403",0.5,-,0.0,11.3,0.4,13.5,45.9,2.8,8.0,17.4,0.1
THARAKA SOUTH,"18,603",1.5,0.0,0.1,11.5,0.7,3.7,39.2,2.0,14.6,26.7,0.0
MT. KENYA FOREST,71,-,-,-,-,-,50.7,5.6,-,33.8,9.9,-
EMBU,"182,427",4.4,1.3,2.3,11.4,0.8,3.9,28.6,2.0,24.1,21.1,0.0
EMBU EAST,"39,586",0.8,0.7,1.9,15.0,0.5,5.9,23.9,2.7,32.8,15.8,-
EMBU NORTH,"24,294",1.4,0.7,1.7,9.3,0.5,3.6,15.5,2.4,53.3,11.6,0.0
EMBU WEST,"43,126",16.0,4.0,6.6,10.7,1.7,4.5,19.6,0.9,21.3,14.7,0.0
MBEERE SOUTH,"45,924",0.8,0.3,0.5,11.4,0.7,2.4,41.9,2.6,10.1,29.4,0.0
MBEERE NORTH,"29,483",0.3,0.0,0.1,9.6,0.3,3.0,38.0,1.8,14.5,32.4,0.0
MT. KENYA FOREST,14,-,-,-,-,-,-,-,-,85.7,14.3,-
KITUI,"261,814",3.8,0.1,0.3,13.0,1.3,6.1,38.3,3.1,11.3,22.8,0.0
IKUTHA,"16,579",0.4,-,0.2,10.0,0.5,6.0,42.4,2.6,6.9,31.0,0.0
KATULANI,"12,166",0.2,0.1,0.1,14.7,0.1,4.0,36.9,2.7,16.0,25.2,-
KISASI,"10,860",0.8,-,0.2,31.8,0.5,1.5,37.3,1.4,9.7,16.7,0.0
KITUI CENTRAL,"29,026",15.6,0.1,0.4,13.4,2.0,4.1,26.5,1.9,17.0,18.9,0.0
KITUI WEST,"17,465",1.7,0.0,0.1,11.3,0.2,5.9,33.0,4.2,18.9,24.6,-
KYUSO,"15,969",1.5,0.0,0.1,9.8,1.4,10.6,48.6,3.9,4.7,19.4,0.0
LOWER YATTA,"15,021",1.9,0.4,0.1,10.9,1.6,5.7,40.3,4.6,14.3,20.2,0.0
MATINYANI,"11,497",0.5,-,0.1,12.4,0.3,5.1,26.5,1.2,30.6,23.4,-
MIGWANI,"18,843",0.4,0.0,0.1,13.8,0.1,3.2,33.0,1.9,17.7,29.7,0.0
MUMONI,"6,451",0.1,-,0.2,12.0,1.4,12.0,48.2,3.4,4.3,18.5,0.0
MUTITU,"11,490",0.5,0.0,0.3,16.6,1.9,6.4,46.2,6.3,5.9,15.6,0.1
MUTITU NORTH,"4,929",0.1,0.3,0.0,13.2,1.0,3.4,48.1,1.4,5.5,27.0,0.0
MUTOMO,"23,034",2.6,0.1,0.1,13.0,1.0,4.9,40.5,4.0,6.9,27.1,0.0
MWINGI CENTRAL,"26,745",12.8,0.1,0.8,9.1,3.6,8.6,39.3,3.4,5.1,17.1,0.0
MWINGI EAST,"18,725",0.1,0.0,0.1,13.3,1.6,6.4,45.3,2.9,4.5,26.0,0.0
NZAMBANI,"11,276",0.7,0.0,0.9,18.1,0.5,5.1,30.6,1.7,16.1,26.2,-
THAGICU,"3,289",0.0,-,-,5.8,0.9,16.1,44.6,3.8,1.8,26.9,-
TSEIKURU,"8,449",1.2,-,0.2,6.2,0.7,10.4,50.1,4.4,6.2,20.6,-
MACHAKOS,"399,523",7.4,1.6,9.7,7.4,2.4,3.8,23.1,1.6,27.2,15.8,0.0
ATHI RIVER,"109,723",16.4,5.4,32.3,4.2,6.7,3.2,19.2,0.6,3.9,8.1,0.1
